"sourceAddress","sum(inAmount)","inAsset"
"1MAJqr5Nygf3oJLNokQwffoYBuW6WPjnyb","99980000","BTC"
"1MQqb78FCoUn5KkkVWgpehcwbXXd3pyaJZ","99980000","BTC"
"1NhVH5WUv3m9X9RVhc1FD4FrALPwcQhbVU","99980000","BTC"
"1NuArK5EYnSeHHBKyjXQhBnBXCpHeRyxw","199960000","BTC"
"1Nw49AJmLkVzc3caQgCdd8knfgiAN36buE","99980000","BTC"
"1P8ge9ex6QxC8fBAjUxo3Lwq2g6fedHj7D","99980000","BTC"
"1PaMZwayydvVzbD86THEMZ9EagGkXSxCVq","99980000","BTC"
"1tJRxnCcExC1cGL6TWhsj4yDJN5VV1H3V","99970000","BTC"
"18k3hrgBqjTET3DXiCiFmyP1VAM7WtCXem","99960000","BTC"
"19q9Em1zofUPStUg3WACi4FXQxJUyfMAMt","99960000","BTC"
"15TUsRqnZpeGswLdviemPU2LnhreuSYNB5","99900000","BTC"
"1DGmDdN5WMCmC2k9vAiPrPiV8bmcbJ5vAx","99900000","BTC"
"1KjhqomehFYPQSLmUr6GHTbe7MmJjA5YDt","99900000","BTC"
"1AL9sdRydUPDzMXw3QZGTJkSSEMR24muEX","99880000","BTC"
"115URSMTdLWvREZmkvomNZkZkpQE49pmtx","100077800","BTC"
"12TU3Q5SZu5Yn6iaurFJpPbKiSvSGhfPxQ","99000000","BTC"
"17JgrMBUvF8nM666iq6mXNcHTN8towsjqX","99000000","BTC"
"1MS4ymBvEaQG9fbLgJaMJx4ETPyY58e5aX","97000000","BTC"
"1ENXDR62MhSMy3yy9aN7vqgcpjSWt5Quvv","91410992","BTC"
"1Jqs4mpHsHpbmEcC8qFfdEX92XCiwqQTPX","100000000","BTC"
"1JCVXSHJLWhDfytEMEXVvLVoYtBiHXho99","90000000","BTC"
"1HLAok6b5BzdvceiPL6bgqykhndPSLsjbU","89830830","BTC"
"19dVKGvubjja8s8UxbDMeZuKfKheFh7Qag","239165502","BTC"
"19whkvfB9W2VpUDq27AXxUmGa7azFRT3bm","88404435","BTC"
"12VUoME2e9tHwKry2qaBq4YWRYTnfLbxYh","502000000","BTC"
"1A9vTKGp97X9WoL3vycnhBEMFVEJUzwfQX","77980000","BTC"
"15ZBYrd8VgtX43K7R21Zwo6Biu5Z7fMeqn","79000000","BTC"
"16pP5FUuoiV2RdRX9pUovP1J2ewEMmkkcp","101950000","BTC"
"1MPesmAFJXFdxAz5Uj6PZ3mbB93iFm1a7P","73300000","BTC"
"1HHkpLo8gP4CPiZw5TuuKrW6bb6WAX8crX","72000000","BTC"
"14QtaGsHSn46dE8do8zbnCFyC9eAHkw8MW","170960000","BTC"
"1Q57mfGwn3eg3xSpKuNY7ZpRi2AfMh9aEi","70980000","BTC"
"1JJqF81QYg1wPmeY4z6W69kv814uzxoWD9","70000000","BTC"
"12bbsuUEUkhyaiyPv1BAZDUby8TWhvqwQW","69990000","BTC"
"1Kisdy7mtaXzfM3n6yjtCh85tbpmbiyxjP","64980000","BTC"
"1Aj5NmTEnf6CQkTKoJreKfAwtm1DNh5DpW","65477800","BTC"
"1HXjG76pXtUzJMAxPoUAuYzWQY11rAvJ67","63839114","BTC"
"19MH4gAdt2oatLroUa8cg8wNyCnW79j5sn","61432515","BTC"
"1LanDPTpHLJ5heRhnXa8Hshz8m2XhVfQCw","59980000","BTC"
"1BKN7X4FXnpKF3Db8CKXXZrgqKYVy9Edt2","59930000","BTC"
"1Kjm4ueR3oeR7sa5SjJ2Z3JdVmt9d3zAHT","58679444","BTC"
"18rbzLdGf81qmjfHuFaK83xU2CmiyUuQx4","57444692","BTC"
"1B1XbbxJupjxSGuoLSdQjKTg9AzYP5Fk1J","56843521","BTC"
"1ADef7dpYHKvEYkSBeo96fPDnJoU53Daso","56071921","BTC"
"1KCS56FnmdCdPbpnzGXipMHzumsPg2hVwE","56046000","BTC"
"1A8zvH7iFAf15tMoZHBuGAc3NG2Fium9Yv","55500000","BTC"
"14fKhv6w8ez8DcAvSKb5KHY8A8SD1KTDRZ","55000000","BTC"
"18wdW9c3wHrS6NVQNhbAN4uuCqQsdnFpL2","54000000","BTC"
"1EPHyKadLSnNpeEd8aA1R12FqCfKRRQPJY","53000000","BTC"
"1ZnfeSyH2EHyHmnsPmAy9FwtkE75BxVgW","52980000","BTC"
"19ZubZX9tzK9xrAGvjTwdktKvP5NvB6iK","52490000","BTC"
